"ManufacturerName","Assignment"
"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD","BCEC23 BC83A7 60427F FCA386 283545 1CA770"
"ServerNet S.r.l.","AC06C7"
"Cisco Systems, Inc","CC46D6 58AC78 00107B 00906D 0090BF 005080 F4CFE2 501CBF 88F031 508789 381C1A F40F1B BC671C A0ECF9 D46D50 1CE85D C47295 A0554F 84B802 BCC493 F02929 ECE1A9 7C69F6 C08C60 C0255C 885A92 E4C722 C07BBC 0090F2 00173B 00400B 006009 006047 0006C1 00E014 00E01E ACF2C5 0010FF 34BDC8 54A274 5897BD 046C9D 64D814 18339D 5C5015 A44C11 10BD18 00DEFB D4A02A 649EF3 D824BD 08D09F 64AE0C D0C282 B8621F 405539 B8BEBF E84040 40F4EC D0D0FD 58BC27 A8B1D4 C84C75 3037A6 68EFBD 081FF3 F4ACC1 64168D 003A99 006440 0025B4 0026CA 0024C3 002497 002584 002414 002156 001EF6 001F9D 001F26 001F6D 001E4A 001E7A 001E79 001D46 001DE5 001E14 001CF9 001BD5 001B2B 001C0F 0019E8 001A6D 001818 0017E0 001906 0018B9 001646 0015F9 0014A8 0012D9 000ED7 000E39 000DEC 000E84 000BBF 000C30 000A8B 000B5F 000A41 00097B 00097C 0007EB 0008A4 00087D 000750 000784 000501 000574 0004DE 000427 0003E4 0003A0 0001C9 0001C7 00024A 00036C 0002BA 00027D 003080 003024 00D0FF 0030A3 003040 00B064 003019 00D097 003071 00D079 00351A 00CCFC 008E73 004268 003A7D 00F663 00562B 00A2EE A03D6F 2CD02D 285261 286F7F 08CCA7 F8A5C5 2C3311 C4B9CD 2CABEB 00F82C 00C1B1 70DF2F 188090 C444A0 7802B1 3890A5 500F80 00906F 0090A6 0090AB 7426AC B000B4 2834A2 641225 544A00 5067AE BC16F5 6899CD F44E05 0CF5A4 5CFC66 D0A5A6 3C5EC3 64F69D 74A2E6 204C9E 00900C 001079 00102F 00602F 006070 006083 00067C 54781A 58971E CCD539 20BBC0 4C4E35 7CAD74 10F311 08CC68 D0C789 F84F57 34DBFD 5CA48A 0010A6 E86549 84B517 046273 9C57AD F4EA67 442B03 A45630 5057A8 3CCE73 C46413 70CA9B 2C3F38 6C9CED 0C8525 C40ACB 68BC0C 00077D 88F077 E8B748 B41489 C89C1D 503DE5 D0574C 18EF63 68BDAB B4A4E3 F866F2 5475D0 ECC882 8843E1 00270C 002546 002545 002699 0023EA 002451 0024F7 0023AC 002291 0022BD 00235D 00211C 0021A0 0021D8 001E13 001CB1 001DA1 001D71 001AE2 001B90 001B54 001C57 001955 00192F 001AA2 0015C7 00169C 0016C7 00141C 001469 001280 00115C 001201 001244 001121 000F35 000CCE 000DBC 000D28 000AF3 0009E9 000AB7 0009B6 000911 000943 0008E2 0007B4 000628 000531 000532 000652 00070D 0005DD 000332 00049B 000197 000216 00307B 000163 000142 00D058 00503E 00D0D3 0030F2 00F28B 00C88B 00CAE5 006CBC 005F86 0081C4 94D469 D42C44 A0E0AF 0896AD 2C5A0F 00A38E 00A3D1 A0239F 78BC1A 00FEC8 0041D2 005053 00500F 00E04F 001011 0010F6 80E01D 80E86F E4AA5D B0AA77 78BAF9 00E08F 203A07 34A84E E4D3F1 1CE6C7 E02F6D 8478AC 4403A7 6886A7 B4E9B0 000832 B0FAEB 500604 70105C 3C08F6 D072DC 28C7CE 6CFA89 58F39C 346288 881DFC C067AF 64E950 189C5D 0050A2 0050F0 00905F 00902B 00100B 00100D 001014 0CD996 D48CB5 58BFEA F47F35 2C36F8 28940F 8C604F A0CF5B E8BA70 64D989 44D3CA 44E4D9 6400F1 04C5A4 1CDF0F 8CB64F ACA016 A40CC3 DC7B94 003A9C EC4476 FCFBFB 0026CB 0025B5 00260B 0024F9 002498 002334 002256 002255 002304 001FCA 001DE6 001F27 001D45 001C0E 001A6C 001B0D 001A2F 001907 0019A9 0019E7 00170F 001794 001759 001874 001647 0015FA 001563 00152B 00152C 0014A9 0014F1 001319 00131A 000F90 001193 000F24 000ED6 000E38 000C86 000D65 000D66 000B46 000A42 0006D6 000785 000821 00087C 0007EC 0008C2 0008A3 0004C0 000573 00046E 00044E 0002FC 0003FE 0003FD 0030B6 0050A7 00D090 0C75BD 0C1167 00AF1F E00EDA 009E1E 00EBD5 00A742 008731 00B0E1 0059DC 0038DF 006BF1 70D379 0027E3 706E6D 40017A CC5A53 50F722 F07816 00000C 004096 30F70D B07D47 D8B190 F0B2E5 188B9D 38ED18 ECBD1D DCCEC1 84B261 70E422 0050BD 009086 005054 3C0E23 A80C0D B83861 6C9989 580A20 0050D1 00500B 005073 00603E 00E034 887556 60735C FC9947 00E16D F8C288 E0ACF1 FC5B39 346F90 E0D173 74A02F 547C69 689CE2 40A6E8 6C2056 BC1665 44ADD9 0C2724 6C416A F872EA 0C6803 D867D9 2C542D 002A6A 000830 CCEF48 64A0E7 D4D748 000831 708105 00082F 5835D9 C0626B 6C504D F02572 0006F6 04FE7F 2893FE 547FEE C47D4F 3CDF1E 003A9B EC3091 00270D 002698 002651 002652 002583 002413 0024C4 0022BE 0023AB 00211B 002155 0021A1 00220D 00220C 001E49 001F6C 001EF7 001F9E 001D70 001B2A 001BD4 001930 001AA1 001819 0017DF 0018BA 00141B 00135F 001360 0013C3 0013C4 0012DA 001380 00137F 000E83 000F34 000D29 000DED 000C31 000BBE 000B85 000B60 000AB8 000A8A 0009E8 000912 000944 00074F 0005DC 000500 000653 00036B 0003E3 0004DD 000428 00039F 00B08E 000196 0002B9 00027E 00024B 003078 00D0C0 003085 00D0BA 00D0BC 003096 00DA55 042AE2 0062EC 002A10 843DC6 00D78F 00A6CA 00425A 007686 2C0BE9 2C86D2 2C3124 F80BCB 70DB98 009AD2 70F35A 40CE24 706BB9 0057D2 188B45 00101F 001054 DCEB94 5C838F AC7E8A 382056 00502A 005014 0090D9 009092 001029 001007 00605C 00E0F7 00E0B0 00E0FE 00E0A3 00E0F9 5006AB 0050E2 005050 009021 0090B1 00023D 18E728 2C3ECF 1005CA 1CDEA7 1C6A7A CCD8C1 7C0ECE F09E63 F07F06 84802D E0899D A89D21 BCF1F2 C80084 A0F849 88908D A46C2A 1C1D86 C4143C 2401C7 04DAD2 F41FC2 4C0082 DCA5F4 7C95F3 5017FF E8EDF3 78DA6E 24E9B3 A41875 A4934C 24B657 C8F9F9 F0F755 203706 30E4DB 1CAA07 C471FE E05FB9 081735 108CCF 588D09 E80462 9C4E20 1C17D3 9CAFCA 003A98 003A9A 00260A 002450 002290 002333 002305 0023EB 00235E 0021D7 001EBE 001EBD 001FC9 001CF6 001CB0 001DA2 001C58 001B53 001B0C 001B8F 001AE3 0019AA 001A30 001956 001873 001795 0016C8 00175A 00170E 00169D 0015C6 00146A 001562 0014F2 00127F 0011BB 0011BC 001200 00115D 001192 001243 001120 000F8F 000F23 000FF8 000FF7 000DBD 000BFD 000BFC 000C85 000CCF 000B45 000AF4 0009B7 0007B3 0008E3 000820 00062A 00059B 00059A 0006D7 00055F 00055E 00070E 0004C1 00049A 000331 00044D 00046D 0002FD 000164 000217 000143 003094 00D0E4 00D006 00B04A 00B0C2 00D063 00D0BB 00C164 008A96 007888 CC167E 00A289 002CC8 CC9891 74860B"
"HUAWEI TECHNOLOGIES CO.,LTD","48AD08 2CAB00 00E0FC 24DF6A 009ACD 8038BC D440F0 64A651 E8CD2D ACE215 EC233D 78F5FD 80B686 10C61F 8853D4 0C37DC BC7670 24DBAC 0C45BA CCA223 E8088B 60E701 AC853D 74882A 78D752 E0247F 00464B 707BE8 548998 0819A6 3CF808 B41513 283152 DCD2FC 285FDB 404D8E 781DBA 001E10 D03E5C F898B9 2CCF58 E4C2D1 88A2D7 3C4711 D0D04B 9C52F8 900325 DC094C DCEE06 58605F 8828B3 C4F081 801382 483C0C 2C9D1E C88D83 F04347 9CB2B2 84BE52 F09838 18DED7 C80CC8 0425C5 DCC64B 043389 A0A33B A0086F C4FF1F 5C0339 044F4C 1C151F 5C0979 002EC7 488EEF 2054FA 989C57 E4A7C5 104400 A8CA7B ACCF85 EC4D47 88CF98 D8490B 888603 F8E811 E09796 CCCC81 101B54 7054F5 D07AB5 C40528 3CDFBD 14B968 80717A F49FF3 84DBAC C07009 E0191D B8BC1B 241FA0 50A72B C85195 00F81C F4559C 283CE4 08E84F 04BD70 18C58A 04C06F 5C4CA9 4C5499 00259E 001882 D494E8 4455B1 30F335 745AAA 7C1CF1 74A528 94DBDA 384C4F E4A8B6 244C07 94FE22 F823B2 DCD916 08C021 48435A 9CE374 049FCA C81FBE 203DB2 48D539 14A51A B08900 8C0D76 005A13 A4C64F 487B6B 80D4A5 38BC01 04B0E7 446A2E 2C55D3 F44C7F 143004 14A0F8 28B448 B05508 602E20 E472E2 E86819 6CB749 4CFB45 A4BA76 7CB15D 34CDBE D46AA8 5439DF 4846FB 200BC7 104780 88E3AB 00664B 68A0F6 5CF96A B43052 88CEFA 582AF7 F48E92 40CBA8 087A4C D46E5C 2469A5 C8D15E F83DFF 308730 002568 30D17E 9C28EF 7C6097 60DE44 3400A3 643E8C E03676 7CA23E E8BDD1 FCE33C 249EAB 74A063 14D11F 54511B E47E66 9C741A E0A3AC 042758 5CA86A 48FD8E 244427 18D276 4CF95D 8421F1 707990 3CFA43 145F94 C0BFC0 A08CF8 C894BB D0FF98 5004B8 10B1F8 F87588 BC3F8F 28A6DB 8C2505 940E6B 38378B 6416F0 48DB50 2400BA A08D16 E84DD0 240995 247F3C 1C8E5C 94772B F4E3FB 04021F 0034FE D02DB3 086361 F80113 70723C 5C7D5E 4C8BEF 20F3A3 ACE87B 688F84 ECCB30 786A89 2008ED 509F27 CC96A0 54A51B F4C714 286ED4 04F938 FC48EF 80FB06 D4B110 CC53B5 EC388F BC9C31 E435C8 F8BF09 5CB395 9C37F4 BC620E 78F557 E02861 C4473F D4612E 1C6758 BC7574 20A680 34A2A2 20F17C 34B354 749D8F 346AC2 50016B 307496 708A09 149D09 F4CB52 446EE5 A8C83A 849FB5 9C7DA3 F02FA7 883FD3 341E6B B0E5ED C81451 C486E9 D8C771 F0C850 5425EA 68CC6E 84A9C4 A0F479 0C8FFF 54B121 786256 A80C63 5CC307 F86EEE E4FB5D 5C546D 7C7D3D 4482E5 B05B67 38F889 F4DCF9 904E2B 0C96BF 9CC172 70A8E3 F84ABF 4CB16C 4C1FCC 486276 AC4E91 E468A3 80D09B 581F28 8C34FD 90671C 587F66 BC25E0 C4072F 0CD6BD A49947 346BD3 1C1D67 84A8E4 202BC1 105172 9017AC 94049C 68A828 A4DCBE 6889C1 845B12 D4F9A1 5CB43E 04FE8D 480031 98E7F5 24BCF8 FC3F7C 608334 84AD58 50680A 600810 AC6175 7C11CB A4CAA0 5001D9 44C346 884477 047503 886639 A47174 D4A148 D065CA 8CEBC6 B808D7 407D0F 3C678C D06F82 844765 3C7843 BC3D85 B0E17E 74D21D"
"Apple, Inc.","00CDFE 18AF61 CC4463 6C72E7 CCC760 087402 285AEB 28F076 44D884 EC852F 286ABA 705681 7CD1C3 F0DCE2 B065BD A82066 BC6778 68967B 848506 B4F0AB 10DDB1 04F7E4 34C059 F0D1A9 F82793 ACFDEC D0E140 8C7C92 7831C1 F437B7 54AE27 6476BA 84B153 783A84 2CBE08 24E314 60FEC5 00A040 BC3BAF 786C1C 041552 38484C 701124 C86F1D 685B35 380F4A 3010E4 04DB56 881FA1 04E536 109ADD 40A6D9 7CF05F A4B197 0C74C2 403004 4860BC 50EAD6 28E02C 60C547 7C11BE 003EE1 68D93C 2CF0EE 84788B 6C94F8 703EAC C01ADA 34363B C81EE7 9CFC01 000D93 001CB3 64B9E8 34159E 58B035 F0B479 ACBC32 AC61EA 38B54D A4F1E8 90C1C6 70A2B3 4C57CA 68FB7E 9CF48E FCD848 70700D 7C5049 D4619D B0481A 989E63 DCA904 48A195 6CAB31 503237 A8BE27 B8634D 6C96CF 3035AD 0CD746 440010 E498D6 606944 0452F3 241EEB F431C3 64A5C3 CC08E0 5855CA 8C7B9D 88C663 C82A14 9803D8 8C5877 3451C9 E0B9BA D023DB B88D12 B817C2 68A86D 78A3E4 BC926B 0050E4 003065 000A27 001451 0019E3 002312 002332 002436 00254B 0026BB E80688 985AEB 2078F0 78D75F E0ACCB 98E0D9 C0CECD 70E72C D03311 C8B5B7 A8BBCF 90B21F B8E856 1499E2 B418D1 80006E 60D9C7 C8F650 1C1AC0 E06678 5C8D4E 64A3CB 44FB42 F41BA1 3CE072 E88D28 CC785F AC3C0B 88CB87 EC3586 F0C1F1 F4F951 18AF8F C0F2FB 00F76F AC87A3 48437C 34A395 9CF387 A85B78 908D6C 0C1539 BC4CC4 0CBC9F A45E60 680927 60FACD 1CABA7 8CFABA 5C95AE E0C97A BC52B7 14109F 542696 D8D1CB 544E90 5CADCF 006D52 1C9E46 E0C767 A860B6 24F094 90B0ED C4B301 E05F45 483B38 404D7F 7C04D0 BC9FEF 8866A5 784F43 88E87F B853AC 2C3361 70F087 886B6E 4C74BF 844167 B4F61C 5CF938 3871DE BC5436 00C610 70DEE2 182032 6CC26B 1040F3 FC253F 183451 C0847A 64200C 74E1B6 0C771A 00F4B9 C8334B B8F6B1 C09F42 189EFC 6C3E6D 7CFADF 101C0C 001124 001D4F 001E52 001F5B 001FF3 0021E9 00236C 002500 60FB42 F81EDF 90840D D8A25E C8BCC8 28E7CF D89E3F 040CCE A4D1D2 406C8F 649ABE 94E96A AC293A 10417F 7014A6 A8667F D02598 CC29F5 6C709F 0C3E9F 34E2FD 609217 8863DF 80E650 006171 90FD61 5C97F3 6C4008 24A074 F02475 20A2E4 5CF5DA 28E14C 54E43A C8E0EB A88808 907240 0C4DE9 D89695 0C3021 F0F61C B03495 848E0C 8C2DAA 444C0C 84FCFE E48B7F 5C969D A8FAD8 949426 E0F5C6 B844D9 DC2B2A 9C4FDA 1C5CF2 E49A79 28A02B B44BD2 B48B19 ECADB8 9801A7 2CF0A2 609AC1 F07960 9C8BA0 4C3275 E4E4AB 58404E DC0C5C 2C200B DCA4CA 8C8FE9 9810E8 B49CDF A4E975 C0A53E 9800C6 787B8A 3866F0 20EE28 08F4AB 8C8590 6C8DC1 38CADA 68DBCA 044BED A4D18C CC25EF 7CC537 70CD60 24AB81 581FAA A46706 3C0754 E4CE8F E8040B B8C75D 403CFC 286AB8 7CC3A1 B8782E 000502 0010FA 000393 0016CB 0017F2 001B63 001EC2 002608 7C6D62 40D32D D83062 C42C03 789F70 DC3714 40331A 94F6A3 D81D72 70ECE4 38C986 FCFC48 A4C361 AC7F3E 280B5C 90B931 24A2E1 80EA96 600308 04F13E 54724F 48746E 3CAB8E 7C6DF8 48D705 3CD0F8 98D6BB 4CB199 64E682 804971 98FE94 D8004D 98B8E3 80929F 885395 9C04EB 78FD94 C88550 D4F46F 787E61 60F81D 4C7C5F 48E9F1 FCE998 F099BF 68644B A8968A 4C8D79 207D74 F4F15A 042665 2CB43A 689C70 087045 209BCD F0B0E7 CC20E8 F45C89 BCEC5D DC415F 30636B 0C5101 086D41 04D3CF 203CAE 748D08 A03BE3 64B0A6 84FCAC 6C19C0 20AB37 186590 D4DCCD 484BAA F80377 14BD61 C0D012 78886D A85C2C 00DB70 28ED6A 34AB37 60A37D 0056CD 7081EB 086698 9060F1 741BB2 28CFE9 E425E7 080007 000A95 002241 0023DF 0025BC 00264A 0026B0 041E64 D49A20 9027E4 60334B A43135 9C35EB 507A55 A0999B 24240E 903C92 341298 9C293F A88E24 E8802E 68AE20 E0B52D 80BE05 D8BB2C D04F7E 2C1F23 549F13 B8098A F0DBE2 18EE69 748114 18F643 D0A637 A01828 D0034B 5C5948 78CA39 18E7F4 B8FF61 DC2B61 1093E9 442A60 E0F847 145A05 28CFDA 148FC6 283737 045453 F0CBA1 C06394 8C006D B09FBA DC86D8 8C2937 DC9B9C 98F0AB F0DBF8 ACCF5C 3C15C2 04489A D8CF9C 30F7C5 008865 40B395 3090AB 1CE62B A0EDCD A886DD 54EAA8 E4C63D 843835 7073CB 9C207B 842999 74E2F5 20C9D0 7C0191 70480F A4B805 587F57 80D605 C869CD BC6C21 0469F8 20768F C0CCF8 80ED2C E8B2AC 8489AD 8C8EF2 F40F24 84A134 1C9148 5CF7E6 A0D795 CC088D B0702D D0C5F3 60F445 00B362 F86214 5082D5 9C84BF 48BF6B 245BA7 BCA920 B019C6 58E28F AC1F74"
"Microsoft Mobile Oy","38F23E 38256B B4E1C4 300D43 6C2779 607EDD 6C8FB5 6C2483 A4516F E498D1 5CCA1A"
"Chicony Electronics Co., Ltd.","907F61 4CBB58 645A04 B0C090"
"SourcingOverseas Co. Ltd","28BC18"
"HTC Corporation","807ABF 90E7C4 7C6193 2C8A72 980D2E A826D9 D4206D 188796 002376 04C23E 00EEBD AC3743 00092D F8DB7F E899C4 800184 502E5C 847A88 74F61C 38E7D8 D8B377 B4CEF6 D40B1A 1CB094 A0F450 404E36 902155 64A769 BCCFCC"
"Jide Technology (Hong Kong) Limited","409F87"
"Google, Inc.","3C5AB4 001A11 089E08 48D6D5 546009 A47733 94EB2C 98D293 703ACB F4F5D8 F4F5E8 F88FCA 9495A0 F40304 D86C63"
"Shenzhen TINNO Mobile Technology Corp.","D83C69 C0C976 A04C5B D0B33F 00738D BCD1D3 BC4434 BC4101 806AB0 A0F895 B0A2E7"
"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.","74AC5F"
"Intel Corporation","000347 001175 00AA01 009027 00A0C9 0007E9 0050F1 00AA00 00D0B7 0002B3 001111 000CF1 000E0C 00AA02 000E35 00207B 000423"
"Intel Corporate","0013E8 001302 E4F89C A402B9 4C3488 001B21 001B77 18FF0F 58A839 A434D9 00215D 001676 984FEE E82AEA 605718 C4D987 B4B676 8C705A 9C4E36 A08869 00C2C6 B88A60 7C7A91 AC7BA1 AC7289 606C66 4C8093 BC7737 A088B4 00270E 001DE0 0024D6 D8FC93 E8B1FC A0D37A 680715 84EF18 887873 44032C F894C2 28C63F D4258B 00E18C 1C4D70 F83441 74E5F9 B46D83 E4FAFD DC5360 780CB8 484520 0019D2 7C5CF8 001E67 001F3C 0022FA 001517 00166F A44E31 6C8814 F81654 3413E8 34E6AD FCF8AE 648099 002314 4025C2 8CA982 D07E35 685D43 90E2BA 0026C7 8086F2 78FF57 A0C589 E4B318 E4A7A0 E4A471 B4D5BD 7CB0C2 D0577B F48C50 F0421C C82158 7C67A2 E442A6 9061AE 6432A8 60F677 2C6E85 001320 0012F0 9049FA C8348E AC2B6E 00216A 001E64 0016EB 0018DE 681729 5C514F B808CF C8F733 4851B7 5CC5D4 7CCCB8 F40669 3CA9F4 28B2BD 08D40C 843A4B 0CD292 78929C 6805CA A4BF01 10F005 30E37A F0D5BF 701CE7 14ABC5 F85971 F49634 A0AFBD BC0F64 6CA100 94659C 1002B5 00215C 002315 001500 104A7D A4C494 902E1C 3CFDFE B8BF83 001DE1 0022FB 081196 6036DD A0369F 502DA2 4C79BA 4CEB42 606720 84A6C8 5891CF 88532E 0024D7 5CD2E4 84683E B88198 98541B 34F39A 2816AD 3CF862 9CDA3E B0359F 88B111 0013CE 801934 B8B81E 185E0F 001E65 001F3B 0016EA 00216B 0019D1 001CC0 5CE0C5 183DA2 448500 809B20 100BA9 247703 C48508 0026C6 74E50B 58946B 002710 64D4DA DCA971 001CBF A0A8CD 340286 34DE1A 80000B B80305 303A64 ACFDCE E09467 00DBDF 0C8BFD E09D31 CC3D82 6C2995 58FB84 BCA8A6 0028F8 E4029B F8633F B49691 34F64B ACED5C CC2F71 40A3CC E470B8 68ECC5"
"BUFFALO.INC","000D0B 000740 0024A5 DCFB02 004026 7403BD 84AFEC 001D73 001601 106F3F 8857EE 343DC4 4CE676 B0C745 CCE1D5"
"zte corporation","74A78E 84742A 681AB2 6CA75F 709F2D EC1D7F 34DE34 4CCBF5 78E8B6 B49842 8CE081 DC028E 48282F 343759 B805AB 74B57E 540955 981333 F8A34F 601466 30D386 D4C1C8 EC237B 309935 38E2DD C87B5B 98F537 001E73 0019C6 0015EB 98F428 54BE53 300C23 1844E6 38D82F D87495 344DEA 2C957F 146080 986CF5 CC7B35 F8DFA8 34E0CF D476EA 789682 749781 E07C13 689FF0 28FF3E 48A74E 9C6F52 288CB8 0C72D9 9C63ED 18686A 344B50 FCC897 9CD24B C864C7 D0154A AC6462 F4B8A7 90D8F3 78312B A47E39 A8A668 0C1262 A0EC80 E0C3F3 F46DE2 C4A366 24C44A D058A8 D071C4 F4E4AD 601888 4CAC0A 0026ED 002293 346987 44F436 D05BA8 D437D7 EC8A4C 208986 9CA9E4 E47723 6C8B2F CC1AFA F084C9 2C26C5 083FBC 6073BC D0608C 688AF0 004A77 88D274 885DFB 384608 B4B362 B075D5 08181A 002512 143EBF 94A7B7 3CDA2A 8C7967 D855A3 4C16F1 5422F8 901D27 30F31D 4C09B4 744AA4 10D0AB 90C7D8 FC2D5E 8CE117 64136C A091C8 702E22 F41F88 78C1A7 049573 287B09 4859A4"
"bioM?rieux Italia S.p.A.","D860B0"
"Murata Manufacturing Co., Ltd.","0021E8 006057 00AEFA 00376D D8C46A DCEFCA 784B87 5CF8A1 6021C0 D0E44A A0CC2B 1C994C F02765 88308A 44A7CF 0013E0 60F189 FCDBB3 98F170 B072BF 10A5D0 2002AF 0026E8 90B686 FCC2DE 147DC5 044665 B8D7AF A0C9A0 40F308 5CDAD4 000E6D A408EA 8C4500 1C7022"
"Hitron Technologies. Inc","0007D8 0C473D 9050CA BC4DFB 68B6FC BC1401 64777D AC202E 788DF7 A84E3F F0F249 84948C 1CABC0 00FC8D 00265B FC5A1D"
"TP-LINK TECHNOLOGIES CO.,LTD.","E005C5 A0F3C1 8C210A EC172F EC888F 14CF92 645601 14CC20 BC4699 3C46D8 54C80F CC3429 D4016D EC086B 18A6F7 246968 30B49E 000AEB C025E9 704F57 B04E26 94D9B3 001D0F 5C63BF B0487A 388345 14E6E4 647002 6466B3 6CE873 30B5C2 9C216A E8DE27 148692 1CFA68 BCD177 C04A00 081F71 D46E0E C0E42D 18D6C7 B8F883 DCFE18 206BE7 0019E0 0023CD 002719 40169F 940C6D 74EA3A 90F652 10FEED C46E1F 50FA84 F483CD 882593 808917 5C899A 50BD5F 147590 60E327 E4D332 085700 D8150D 0C722C A8154D 78A106 282CB2 8CA6DF 001478 28EE52 349672 487D2E 547595 FCD733 002127 54E6FC D85D4C F81A67 F0F336 44B32D 90AE1B C4E984 E894F6 DC0077 B0958E 7C8BCA 0C4B54 C47154 A42BB0 EC26CA 002586 F8D111 F4EC38 20DCE6 F4F26D 50C7BF C06118 D0C7C0 A8574E 0C8268 1C4419 403F8C 98DED0 30FC68 8416F9"
"Cochlear Limited","847778"
"Sysorex Global Holdings","0453D5"
"Rain Bird Corporation","4CA161"
"Cisco-Linksys, LLC","001217 000C41 000F66 48F8B3 00226B 000E08 C8D719 001839 001EE5 C8B373 002369 002129 001D7E 0016B6 0018F8 20AA4B 586D8F 98FC11 0014BF 001310 C0C1C0 687F74 001C10 00259C 001A70"
"Cisco SPVTG","44E08E 185933 E448C7 24767D 2CABA4 001947 0022CE F44B2A 74547D 10EA59 C8FB26 105F49 00223A 38C85C F45FD4 385F66 68EE96 18550F 00252E A4A24A 602AD0 CC0DEC 0023BE 54D46F 24374C BCC810 484487 445829 481D70 001868 BCD165 4C83DE C0C687 503955 001BD7 0021BE 7CB21B 848DC7 088039 34BDFA 001E6B"
"ALPS ELECTRIC CO.,LTD.","0002C7 04766E 30C3D9 28A183 AC7A4D FC62B9 002306 001E3D 0019C1 0016FE 0498F3 38C096 E0750A 001BFB 48F07B 00214F E0AE5E 34C731 60380E 64D4BD 002643 002433 0006F5 0006F7 000704 9C8D7C"
"Shanghai Feixun Communication Co.,Ltd.","006B8E F0EBD0 D842AC 8CAB8E"
"Comark Interactive Solutions","0003DD"
"ASUSTek COMPUTER INC.","00E018 000C6E 001BFC 001E8C 0015F2 002354 001FC6 F832E4 382C4A 60A44C 704D7B 88D7F6 00112F 0011D8 001731 0018F3 485B39 F46D04 3085A9 1CB72C 40167E E03F49 50465D D017C2 6045CB 107B44 14DAE9 000EA6 0013D4 002618 00248C BCEE7B 08606E C86000 38D547 2C4D54 90E6BA BCAEC5 10BF48 14DDA9 086266 AC9E17 F07959 54A050 10C37B 7824AF D850E6 74D02B 9C5C8E 708BCD 2C56DC 001A92 001D60 002215 20CF30 E0CB4E 1C872C 305A3A AC220B 5404A6 3497F6"
"ShenZhen Protruly Electronic Ltd co.","60182E"
"Saffron Solutions Inc","84285A"
"Intellisis","80A1AB"
"ATP Electronics, Inc.","141357"
"TRENDnet, Inc.","3C8CF8 0014D1 D8EB97 782D7E"
