"Port Number","Service Name","Description"
"37","time","Time"
"38","rap","Route Access Protocol"
"38","rap","Route Access Protocol"
"39","rlp","Resource Location Protocol"
"39","rlp","Resource Location Protocol"
"40","","Unassigned"
"40","","Unassigned"
"41","graphics","Graphics"
"41","graphics","Graphics"
"42","name","Host Name Server"
"42","name","Host Name Server"
"42","nameserver","Host Name Server"
"42","nameserver","Host Name Server"
"43","nicname","Who Is"
"43","nicname","Who Is"
"44","mpm-flags","MPM FLAGS Protocol"
"44","mpm-flags","MPM FLAGS Protocol"
"45","mpm","Message Processing Module [recv]"
"45","mpm","Message Processing Module [recv]"
"46","mpm-snd","MPM [default send]"
"46","mpm-snd","MPM [default send]"
"47","ni-ftp","NI FTP"
"47","ni-ftp","NI FTP"
"48","auditd","Digital Audit Daemon"
"48","auditd","Digital Audit Daemon"
"49","tacacs","Login Host Protocol (TACACS)"
"49","tacacs","Login Host Protocol (TACACS)"
"50","re-mail-ck","Remote Mail Checking Protocol"
"50","re-mail-ck","Remote Mail Checking Protocol"
"51","","Reserved"
"52","xns-time","XNS Time Protocol"
"52","xns-time","XNS Time Protocol"
"53","domain","Domain Name Server"
"53","domain","Domain Name Server"
"54","xns-ch","XNS Clearinghouse"
"54","xns-ch","XNS Clearinghouse"
"55","isi-gl","ISI Graphics Language"
"55","isi-gl","ISI Graphics Language"
"56","xns-auth","XNS Authentication"
"56","xns-auth","XNS Authentication"
"57","","any private terminal access"
"57","","any private terminal access"
"58","xns-mail","XNS Mail"
"58","xns-mail","XNS Mail"
"59","","any private file service"
"59","","any private file service"
"60","","Unassigned"
"60","","Unassigned"
"61","ni-mail","NI MAIL"
"61","ni-mail","NI MAIL"
"62","acas","ACA Services"
"62","acas","ACA Services"
"63","whoispp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
"63","whois++","whois++"
"63","whoispp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
"63","whois++","whois++"
"64","covia","Communications Integrator (CI)"
"64","covia","Communications Integrator (CI)"
"65","tacacs-ds","TACACS-Database Service"
"65","tacacs-ds","TACACS-Database Service"
"66","sql-net","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
"66","sql*net","Oracle SQL*NET"
"66","sql-net","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
"66","sql*net","Oracle SQL*NET"
"67","bootps","Bootstrap Protocol Server"
"67","bootps","Bootstrap Protocol Server"
"68","bootpc","Bootstrap Protocol Client"
"68","bootpc","Bootstrap Protocol Client"
"69","tftp","Trivial File Transfer"
"69","tftp","Trivial File Transfer"
"70","gopher","Gopher"
"70","gopher","Gopher"
"71","netrjs-1","Remote Job Service"
"71","netrjs-1","Remote Job Service"
"72","netrjs-2","Remote Job Service"
"72","netrjs-2","Remote Job Service"
"73","netrjs-3","Remote Job Service"
"73","netrjs-3","Remote Job Service"
"74","netrjs-4","Remote Job Service"
"74","netrjs-4","Remote Job Service"
"75","","any private dial out service"
"75","","any private dial out service"
"76","deos","Distributed External Object Store"
"76","deos","Distributed External Object Store"
"77","","any private RJE service"
"77","","any private RJE service"
"78","vettcp","vettcp"
"78","vettcp","vettcp"
"79","finger","Finger"
"79","finger","Finger"
"80","http","World Wide Web HTTP"
"80","http","World Wide Web HTTP"
"80","www","World Wide Web HTTP"
"80","www","World Wide Web HTTP"
"80","www-http","World Wide Web HTTP"
"80","www-http","World Wide Web HTTP"
"80","http","HTTP"
"81","","Unassigned"
"82","xfer","XFER Utility"
"82","xfer","XFER Utility"
"83","mit-ml-dev","MIT ML Device"
"83","mit-ml-dev","MIT ML Device"
"84","ctf","Common Trace Facility"
"84","ctf","Common Trace Facility"
"85","mit-ml-dev","MIT ML Device"
"85","mit-ml-dev","MIT ML Device"
"86","mfcobol","Micro Focus Cobol"
"86","mfcobol","Micro Focus Cobol"
"87","","any private terminal link"
"87","","any private terminal link"
"88","kerberos","Kerberos"
"88","kerberos","Kerberos"
"89","su-mit-tg","SU/MIT Telnet Gateway"
"89","su-mit-tg","SU/MIT Telnet Gateway"
"90","dnsix","DNSIX Securit Attribute Token Map"
"90","dnsix","DNSIX Securit Attribute Token Map"
"91","mit-dov","MIT Dover Spooler"
"91","mit-dov","MIT Dover Spooler"
"92","npp","Network Printing Protocol"
"92","npp","Network Printing Protocol"
"93","dcp","Device Control Protocol"
"93","dcp","Device Control Protocol"
"94","objcall","Tivoli Object Dispatcher"
"94","objcall","Tivoli Object Dispatcher"
"95","supdup","SUPDUP"
"95","supdup","SUPDUP"
"96","dixie","DIXIE Protocol Specification"
"96","dixie","DIXIE Protocol Specification"
"97","swift-rvf","Swift Remote Virtural File Protocol"
"97","swift-rvf","Swift Remote Virtural File Protocol"
"98","tacnews","TAC News"
"98","tacnews","TAC News"
"99","metagram","Metagram Relay"
"99","metagram","Metagram Relay"
"100","","Unassigned"
"101","hostname","NIC Host Name Server"
"101","hostname","NIC Host Name Server"
"102","iso-tsap","ISO-TSAP Class 0"
"102","iso-tsap","ISO-TSAP Class 0"
"103","gppitnp","Genesis Point-to-Point Trans Net"
"103","gppitnp","Genesis Point-to-Point Trans Net"
"104","acr-nema","ACR-NEMA Digital Imag. & Comm. 300"
"104","acr-nema","ACR-NEMA Digital Imag. & Comm. 300"
"105","cso","CCSO name server protocol"
"105","cso","CCSO name server protocol"
"105","csnet-ns","Mailbox Name Nameserver"
"105","csnet-ns","Mailbox Name Nameserver"
"106","3com-tsmux","3COM-TSMUX"
"106","3com-tsmux","3COM-TSMUX"
"107","rtelnet","Remote Telnet Service"
"107","rtelnet","Remote Telnet Service"
"108","snagas","SNA Gateway Access Server"
"108","snagas","SNA Gateway Access Server"
"109","pop2","Post Office Protocol - Version 2"
"109","pop2","Post Office Protocol - Version 2"
"110","pop3","Post Office Protocol - Version 3"
"110","pop3","Post Office Protocol - Version 3"
"111","sunrpc","SUN Remote Procedure Call"
"111","sunrpc","SUN Remote Procedure Call"
"112","mcidas","McIDAS Data Transmission Protocol"
"112","mcidas","McIDAS Data Transmission Protocol"
"113","ident",""
"113","auth","Authentication Service"
"113","auth","Authentication Service"
"114","","unassigned"
"115","sftp","Simple File Transfer Protocol"
"115","sftp","Simple File Transfer Protocol"
"116","ansanotify","ANSA REX Notify"
"116","ansanotify","ANSA REX Notify"
"117","uucp-path","UUCP Path Service"
"117","uucp-path","UUCP Path Service"
"118","sqlserv","SQL Services"
"118","sqlserv","SQL Services"
"119","nntp","Network News Transfer Protocol"
"119","nntp","Network News Transfer Protocol"
"120","cfdptkt","CFDPTKT"
"120","cfdptkt","CFDPTKT"
"121","erpc","Encore Expedited Remote Pro.Call"
"121","erpc","Encore Expedited Remote Pro.Call"
"122","smakynet","SMAKYNET"
"122","smakynet","SMAKYNET"
"123","ntp","Network Time Protocol"
"123","ntp","Network Time Protocol"
"124","ansatrader","ANSA REX Trader"
"124","ansatrader","ANSA REX Trader"
"125","locus-map","Locus PC-Interface Net Map Ser"
"125","locus-map","Locus PC-Interface Net Map Ser"
"126","nxedit","NXEdit"
"126","nxedit","NXEdit"
"127","locus-con","Locus PC-Interface Conn Server"
"127","locus-con","Locus PC-Interface Conn Server"
"128","gss-xlicen","GSS X License Verification"
"128","gss-xlicen","GSS X License Verification"
"129","pwdgen","Password Generator Protocol"
"129","pwdgen","Password Generator Protocol"
"130","cisco-fna","cisco FNATIVE"
"130","cisco-fna","cisco FNATIVE"
"131","cisco-tna","cisco TNATIVE"
"131","cisco-tna","cisco TNATIVE"
"132","cisco-sys","cisco SYSMAINT"
"132","cisco-sys","cisco SYSMAINT"
"133","statsrv","Statistics Service"
"133","statsrv","Statistics Service"
"134","ingres-net","INGRES-NET Service"
"134","ingres-net","INGRES-NET Service"
"135","epmap","DCE endpoint resolution"
"135","epmap","DCE endpoint resolution"
"136","profile","PROFILE Naming System"
"136","profile","PROFILE Naming System"
"137","netbios-ns","NETBIOS Name Service"
"137","netbios-ns","NETBIOS Name Service"
"138","netbios-dgm","NETBIOS Datagram Service"
"138","netbios-dgm","NETBIOS Datagram Service"
"139","netbios-ssn","NETBIOS Session Service"
"139","netbios-ssn","NETBIOS Session Service"
"140","emfis-data","EMFIS Data Service"
"140","emfis-data","EMFIS Data Service"
"141","emfis-cntl","EMFIS Control Service"
"141","emfis-cntl","EMFIS Control Service"
"142","bl-idm","Britton-Lee IDM"
"142","bl-idm","Britton-Lee IDM"
"143","imap","Internet Message Access Protocol"
"143","imap","Internet Message Access Protocol"
"144","uma","Universal Management Architecture"
"144","uma","Universal Management Architecture"
"145","uaac","UAAC Protocol"
"145","uaac","UAAC Protocol"
"146","iso-tp0","ISO-IP0"
"146","iso-tp0","ISO-IP0"
"147","iso-ip","ISO-IP"
"147","iso-ip","ISO-IP"
"148","jargon","Jargon"
"148","jargon","Jargon"
"149","aed-512","AED 512 Emulation Service"
"149","aed-512","AED 512 Emulation Service"
"150","sql-net","SQL-NET"
"150","sql-net","SQL-NET"
"151","hems","HEMS"
"151","hems","HEMS"
"152","bftp","Background File Transfer Program"
"152","bftp","Background File Transfer Program"
"153","sgmp","SGMP"
"153","sgmp","SGMP"
"154","netsc-prod","NETSC"
"154","netsc-prod","NETSC"
"155","netsc-dev","NETSC"
"155","netsc-dev","NETSC"
"156","sqlsrv","SQL Service"
"156","sqlsrv","SQL Service"
"157","knet-cmp","KNET/VM Command/Message Protocol"
"157","knet-cmp","KNET/VM Command/Message Protocol"
"158","pcmail-srv","PCMail Server"
"158","pcmail-srv","PCMail Server"
"159","nss-routing","NSS-Routing"
"159","nss-routing","NSS-Routing"
"160","sgmp-traps","SGMP-TRAPS"
"160","sgmp-traps","SGMP-TRAPS"
"161","snmp","SNMP"
"161","snmp","SNMP"
"162","snmptrap","SNMPTRAP"
"162","snmptrap","SNMPTRAP"
"163","cmip-man","CMIP/TCP Manager"
"163","cmip-man","CMIP/TCP Manager"
"164","cmip-agent","CMIP/TCP Agent"
"164","cmip-agent","CMIP/TCP Agent"
"165","xns-courier","Xerox"
"165","xns-courier","Xerox"
"166","s-net","Sirius Systems"
"166","s-net","Sirius Systems"
"167","namp","NAMP"
"167","namp","NAMP"
"168","rsvd","RSVD"
"168","rsvd","RSVD"
"169","send","SEND"
"169","send","SEND"
"170","print-srv","Network PostScript"
"170","print-srv","Network PostScript"
"171","multiplex","Network Innovations Multiplex"
"171","multiplex","Network Innovations Multiplex"
"172","cl-1","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
"172","cl/1","Network Innovations CL/1"
"172","cl-1","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
"172","cl/1","Network Innovations CL/1"
"173","xyplex-mux","Xyplex"
"173","xyplex-mux","Xyplex"
"174","mailq","MAILQ"
"174","mailq","MAILQ"
"175","vmnet","VMNET"
"175","vmnet","VMNET"
"176","genrad-mux","GENRAD-MUX"
"176","genrad-mux","GENRAD-MUX"
"177","xdmcp","X Display Manager Control Protocol"
"177","xdmcp","X Display Manager Control Protocol"
"178","nextstep","NextStep Window Server"
"178","nextstep","NextStep Window Server"
"179","bgp","Border Gateway Protocol"
"179","bgp","Border Gateway Protocol"
"179","bgp","BGP"
"180","ris","Intergraph"
"180","ris","Intergraph"
"181","unify","Unify"
"181","unify","Unify"
"182","audit","Unisys Audit SITP"
"182","audit","Unisys Audit SITP"
"183","ocbinder","OCBinder"
"183","ocbinder","OCBinder"
"184","ocserver","OCServer"
"184","ocserver","OCServer"
"185","remote-kis","Remote-KIS"
"185","remote-kis","Remote-KIS"
"186","kis","KIS Protocol"
"186","kis","KIS Protocol"
"187","aci","Application Communication Interface"
"187","aci","Application Communication Interface"
"188","mumps","Plus Five's MUMPS"
"188","mumps","Plus Five's MUMPS"
"189","qft","Queued File Transport"
"189","qft","Queued File Transport"
"190","gacp","Gateway Access Control Protocol"
"190","gacp","Gateway Access Control Protocol"
"191","prospero","Prospero Directory Service"
"191","prospero","Prospero Directory Service"
"192","osu-nms","OSU Network Monitoring System"
"192","osu-nms","OSU Network Monitoring System"
"193","srmp","Spider Remote Monitoring Protocol"
"193","srmp","Spider Remote Monitoring Protocol"
"194","irc","Internet Relay Chat Protocol"
"194","irc","Internet Relay Chat Protocol"
"195","dn6-nlm-aud","DNSIX Network Level Module Audit"
"195","dn6-nlm-aud","DNSIX Network Level Module Audit"
"196","dn6-smm-red","DNSIX Session Mgt Module Audit Redir"
"196","dn6-smm-red","DNSIX Session Mgt Module Audit Redir"
"197","dls","Directory Location Service"
"197","dls","Directory Location Service"
"198","dls-mon","Directory Location Service Monitor"
"198","dls-mon","Directory Location Service Monitor"
"199","smux","SMUX"
"199","smux","SMUX"
"200","src","IBM System Resource Controller"
"200","src","IBM System Resource Controller"
"201","at-rtmp","AppleTalk Routing Maintenance"
"201","at-rtmp","AppleTalk Routing Maintenance"
"202","at-nbp","AppleTalk Name Binding"
"202","at-nbp","AppleTalk Name Binding"
"203","at-3","AppleTalk Unused"
"203","at-3","AppleTalk Unused"
"204","at-echo","AppleTalk Echo"
"204","at-echo","AppleTalk Echo"
"205","at-5","AppleTalk Unused"
"205","at-5","AppleTalk Unused"
"206","at-zis","AppleTalk Zone Information"
"206","at-zis","AppleTalk Zone Information"
"207","at-7","AppleTalk Unused"
"207","at-7","AppleTalk Unused"
"208","at-8","AppleTalk Unused"
"208","at-8","AppleTalk Unused"
"209","qmtp","The Quick Mail Transfer Protocol"
"209","qmtp","The Quick Mail Transfer Protocol"
"210","z39-50","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
"210","z39.50","ANSI Z39.50"
"210","z39-50","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
"210","z39.50","ANSI Z39.50"
"211","914c-g","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
"211","914c/g","Texas Instruments 914C/G Terminal"
"211","914c-g","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
"211","914c/g","Texas Instruments 914C/G Terminal"
"212","anet","ATEXSSTR"
"212","anet","ATEXSSTR"
"213","ipx","IPX"
"213","ipx","IPX"
"214","vmpwscs","VM PWSCS"
"214","vmpwscs","VM PWSCS"
"215","softpc","Insignia Solutions"
"215","softpc","Insignia Solutions"
"216","CAIlic","Computer Associates Int'l License Server"
"216","CAIlic","Computer Associates Int'l License Server"
"217","dbase","dBASE Unix"
"217","dbase","dBASE Unix"
"218","mpp","Netix Message Posting Protocol"
"218","mpp","Netix Message Posting Protocol"
"219","uarps","Unisys ARPs"
"219","uarps","Unisys ARPs"
"220","imap3","Interactive Mail Access Protocol v3"
"220","imap3","Interactive Mail Access Protocol v3"
"221","fln-spx","Berkeley rlogind with SPX auth"
"221","fln-spx","Berkeley rlogind with SPX auth"
"222","rsh-spx","Berkeley rshd with SPX auth"
"222","rsh-spx","Berkeley rshd with SPX auth"
"223","cdc","Certificate Distribution Center"
"223","cdc","Certificate Distribution Center"
"224","masqdialer","masqdialer"
"224","masqdialer","masqdialer"
"225-241","","Reserved"
"242","direct","Direct"
"242","direct","Direct"
"243","sur-meas","Survey Measurement"
"243","sur-meas","Survey Measurement"
"244","inbusiness","inbusiness"
"244","inbusiness","inbusiness"
"245","link","LINK"
"245","link","LINK"
"246","dsp3270","Display Systems Protocol"
"246","dsp3270","Display Systems Protocol"
"247","subntbcst-tftp","SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
"247","subntbcst_tftp","SUBNTBCST_TFTP"
"247","subntbcst-tftp","SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
"247","subntbcst_tftp","SUBNTBCST_TFTP"
"248","bhfhs","bhfhs"
"248","bhfhs","bhfhs"
"249-255","","Reserved"
"256","rap","RAP"
"256","rap","RAP"
"257","set","Secure Electronic Transaction"
"257","set","Secure Electronic Transaction"
"258","","Unassigned"
"259","esro-gen","Efficient Short Remote Operations"
"259","esro-gen","Efficient Short Remote Operations"
"260","openport","Openport"
"260","openport","Openport"
"261","nsiiops","IIOP Name Service over TLS/SSL"
"261","nsiiops","IIOP Name Service over TLS/SSL"
"262","arcisdms","Arcisdms"
"262","arcisdms","Arcisdms"
"263","hdap","HDAP"
"263","hdap","HDAP"
"264","bgmp","BGMP"
"264","bgmp","BGMP"
"265","x-bone-ctl","X-Bone CTL"
"265","x-bone-ctl","X-Bone CTL"
"266","sst","SCSI on ST"
"266","sst","SCSI on ST"
"267","td-service","Tobit David Service Layer"
"267","td-service","Tobit David Service Layer"
"268","td-replica","Tobit David Replica"
"268","td-replica","Tobit David Replica"
"269","manet","MANET Protocols"
"269","manet","MANET Protocols"
"270","","Reserved"
"270","gist","Q-mode encapsulation for GIST messages"
"271","pt-tls","IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)"
"271","","Reserved"
"272-279","","Unassigned"
"280","http-mgmt","http-mgmt"
"280","http-mgmt","http-mgmt"
"281","personal-link","Personal Link"
"281","personal-link","Personal Link"
"282","cableport-ax","Cable Port A/X"
"282","cableport-ax","Cable Port A/X"
"283","rescap","rescap"
"283","rescap","rescap"
"284","corerjd","corerjd"
"284","corerjd","corerjd"
"285","","Unassigned"
"286","fxp","FXP Communication"
"286","fxp","FXP Communication"
"287","k-block","K-BLOCK"
"287","k-block","K-BLOCK"
"288-307","","Unassigned"
"308","novastorbakcup","Novastor Backup"
"308","novastorbakcup","Novastor Backup"
"309","entrusttime","EntrustTime"
"309","entrusttime","EntrustTime"
"310","bhmds","bhmds"
"310","bhmds","bhmds"
"311","asip-webadmin","AppleShare IP WebAdmin"
"311","asip-webadmin","AppleShare IP WebAdmin"
"312","vslmp","VSLMP"
"312","vslmp","VSLMP"
"313","magenta-logic","Magenta Logic"
"313","magenta-logic","Magenta Logic"
"314","opalis-robot","Opalis Robot"
"314","opalis-robot","Opalis Robot"
"315","dpsi","DPSI"
"315","dpsi","DPSI"
"316","decauth","decAuth"
"316","decauth","decAuth"
"317","zannet","Zannet"
"317","zannet","Zannet"
"318","pkix-timestamp","PKIX TimeStamp"
"318","pkix-timestamp","PKIX TimeStamp"
"319","ptp-event","PTP Event"
"319","ptp-event","PTP Event"
"320","ptp-general","PTP General"
"320","ptp-general","PTP General"
"321","pip","PIP"
"321","pip","PIP"
"322","rtsps","RTSPS"
"322","rtsps","RTSPS"
"323","rpki-rtr","Resource PKI to Router Protocol"
"323","","Reserved"
"324","rpki-rtr-tls","Resource PKI to Router Protocol over TLS"
"324","","Reserved"
"325-332","","Unassigned"
"333","texar","Texar Security Port"
"333","texar","Texar Security Port"
"334-343","","Unassigned"
"344","pdap","Prospero Data Access Protocol"
"344","pdap","Prospero Data Access Protocol"
"345","pawserv","Perf Analysis Workbench"
"345","pawserv","Perf Analysis Workbench"
"346","zserv","Zebra server"
"346","zserv","Zebra server"
"347","fatserv","Fatmen Server"
"347","fatserv","Fatmen Server"
"348","csi-sgwp","Cabletron Management Protocol"
"348","csi-sgwp","Cabletron Management Protocol"
"349","mftp","mftp"
"349","mftp","mftp"
"350","matip-type-a","MATIP Type A"
"350","matip-type-a","MATIP Type A"
"351","matip-type-b","MATIP Type B"
"351","matip-type-b","MATIP Type B"
"351","bhoetty","bhoetty"
"351","bhoetty","bhoetty"
"352","dtag-ste-sb","DTAG"
"352","dtag-ste-sb","DTAG"
"352","bhoedap4","bhoedap4"
"352","bhoedap4","bhoedap4"
"353","ndsauth","NDSAUTH"
"353","ndsauth","NDSAUTH"
"354","bh611","bh611"
"354","bh611","bh611"
"355","datex-asn","DATEX-ASN"
"355","datex-asn","DATEX-ASN"
"356","cloanto-net-1","Cloanto Net 1"
"356","cloanto-net-1","Cloanto Net 1"
"357","bhevent","bhevent"
"357","bhevent","bhevent"
"358","shrinkwrap","Shrinkwrap"
"358","shrinkwrap","Shrinkwrap"
"359","nsrmp","Network Security Risk Management Protocol"
"359","nsrmp","Network Security Risk Management Protocol"
"360","scoi2odialog","scoi2odialog"
"360","scoi2odialog","scoi2odialog"
"361","semantix","Semantix"
"361","semantix","Semantix"
"362","srssend","SRS Send"
"362","srssend","SRS Send"
"363","rsvp-tunnel","RSVP Tunnel
IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
"363","rsvp_tunnel","RSVP Tunnel"
"363","rsvp-tunnel","RSVP Tunnel
IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
"363","rsvp_tunnel","RSVP Tunnel"
"364","aurora-cmgr","Aurora CMGR"
"364","aurora-cmgr","Aurora CMGR"
"365","dtk","DTK"
"365","dtk","DTK"
"366","odmr","ODMR"
"366","odmr","ODMR"
"367","mortgageware","MortgageWare"
"367","mortgageware","MortgageWare"
"368","qbikgdp","QbikGDP"
"368","qbikgdp","QbikGDP"
"369","rpc2portmap","rpc2portmap"
"369","rpc2portmap","rpc2portmap"
"370","codaauth2","codaauth2"
"370","codaauth2","codaauth2"
"371","clearcase","Clearcase"
"371","clearcase","Clearcase"
"372","ulistproc","ListProcessor"
"372","ulistproc","ListProcessor"
"373","legent-1","Legent Corporation"
"373","legent-1","Legent Corporation"
"374","legent-2","Legent Corporation"
"374","legent-2","Legent Corporation"
"375","hassle","Hassle"
"375","hassle","Hassle"
"376","nip","Amiga Envoy Network Inquiry Proto"
"376","nip","Amiga Envoy Network Inquiry Proto"
"377","tnETOS","NEC Corporation"
"377","tnETOS","NEC Corporation"
"378","dsETOS","NEC Corporation"
"378","dsETOS","NEC Corporation"
"379","is99c","TIA/EIA/IS-99 modem client"
"379","is99c","TIA/EIA/IS-99 modem client"
"380","is99s","TIA/EIA/IS-99 modem server"
"380","is99s","TIA/EIA/IS-99 modem server"
"381","hp-collector","hp performance data collector"
"381","hp-collector","hp performance data collector"
"382","hp-managed-node","hp performance data managed node"
"382","hp-managed-node","hp performance data managed node"
"383","hp-alarm-mgr","hp performance data alarm manager"
"383","hp-alarm-mgr","hp performance data alarm manager"
"384","arns","A Remote Network Server System"
"384","arns","A Remote Network Server System"
"385","ibm-app","IBM Application"
"385","ibm-app","IBM Application"
"386","asa","ASA Message Router Object Def."
"386","asa","ASA Message Router Object Def."
"387","aurp","Appletalk Update-Based Routing Pro."
"387","aurp","Appletalk Update-Based Routing Pro."
"388","unidata-ldm","Unidata LDM"
"388","unidata-ldm","Unidata LDM"
"389","ldap","Lightweight Directory Access Protocol"
"389","ldap","Lightweight Directory Access Protocol"
"390","uis","UIS"
"390","uis","UIS"
"391","synotics-relay","SynOptics SNMP Relay Port"
"391","synotics-relay","SynOptics SNMP Relay Port"
"392","synotics-broker","SynOptics Port Broker Port"
"392","synotics-broker","SynOptics Port Broker Port"
"393","meta5","Meta5"
"393","meta5","Meta5"
"394","embl-ndt","EMBL Nucleic Data Transfer"
"394","embl-ndt","EMBL Nucleic Data Transfer"
"395","netcp","NetScout Control Protocol"
"395","netcp","NetScout Control Protocol"
"396","netware-ip","Novell Netware over IP"
"396","netware-ip","Novell Netware over IP"
"397","mptn","Multi Protocol Trans. Net."
"397","mptn","Multi Protocol Trans. Net."
"398","kryptolan","Kryptolan"
"398","kryptolan","Kryptolan"
"399","iso-tsap-c2","ISO Transport Class 2 Non-Control over TCP"
"399","iso-tsap-c2","ISO Transport Class 2 Non-Control over UDP"
"400","osb-sd","Oracle Secure Backup"
"400","osb-sd","Oracle Secure Backup"
"401","ups","Uninterruptible Power Supply"
"401","ups","Uninterruptible Power Supply"
"402","genie","Genie Protocol"
"402","genie","Genie Protocol"
"403","decap","decap"
"403","decap","decap"
"404","nced","nced"
"404","nced","nced"
"405","ncld","ncld"
"405","ncld","ncld"
"406","imsp","Interactive Mail Support Protocol"
"406","imsp","Interactive Mail Support Protocol"
"407","timbuktu","Timbuktu"
"407","timbuktu","Timbuktu"
"408","prm-sm","Prospero Resource Manager Sys. Man."
"408","prm-sm","Prospero Resource Manager Sys. Man."
"409","prm-nm","Prospero Resource Manager Node Man."
"409","prm-nm","Prospero Resource Manager Node Man."
"410","decladebug","DECLadebug Remote Debug Protocol"
"410","decladebug","DECLadebug Remote Debug Protocol"
"411","rmt","Remote MT Protocol"
"411","rmt","Remote MT Protocol"
"412","synoptics-trap","Trap Convention Port"
"412","synoptics-trap","Trap Convention Port"
"413","smsp","Storage Management Services Protocol"
"413","smsp","Storage Management Services Protocol"
"414","infoseek","InfoSeek"
"414","infoseek","InfoSeek"
"415","bnet","BNet"
"415","bnet","BNet"
"416","silverplatter","Silverplatter"
"416","silverplatter","Silverplatter"
"417","onmux","Onmux"
"417","onmux","Onmux"
"418","hyper-g","Hyper-G"
"418","hyper-g","Hyper-G"
"419","ariel1","Ariel 1"
"419","ariel1","Ariel 1"
"420","smpte","SMPTE"
"420","smpte","SMPTE"
"421","ariel2","Ariel 2"
"421","ariel2","Ariel 2"
"422","ariel3","Ariel 3"
"422","ariel3","Ariel 3"
"423","opc-job-start","IBM Operations Planning and Control Start"
"423","opc-job-start","IBM Operations Planning and Control Start"
"424","opc-job-track","IBM Operations Planning and Control Track"
"424","opc-job-track","IBM Operations Planning and Control Track"
"425","icad-el","ICAD"
"425","icad-el","ICAD"
"426","smartsdp","smartsdp"
"426","smartsdp","smartsdp"
"427","svrloc","Server Location"
"427","svrloc","Server Location"
"428","ocs-cmu","OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
"428","ocs_cmu","OCS_CMU"
"428","ocs-cmu","OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
